original id,id,Address,Response_Address,Response_X,Response_Y
0,1,臺北市文山區指南路二段45巷10弄1~30號,,,
35,2,臺北市文山區試院路1~30號,,,
39,3,臺北市萬華區中華路二段511~540號,,,
43,4,臺北市內湖區民權東路六段121~150號,,,
44,5,臺北市中山區新生北路三段82巷1~30號,,,
45,6,臺北市中山區中原街121~150號,,,
48,7,臺北市中山區松江路150巷1~30號,,,
53,8,臺北市中山區松江路235巷31~60號,,,
54,9,臺北市內湖區麗山街46巷5弄1~30號,,,
64,10,臺北市信義區和平東路三段463巷1~30號,,,
69,11,臺北市士林區通河街323巷1~30號,,,
70,12,臺北市士林區天母東路31~60號,,,
84,13,臺北市北投區行義路1~30號,,,
85,14,臺北市大安區通化街190巷1~30號,,,
87,15,臺北市大安區和平東路三段1巷72弄1~30號,,,
90,16,臺北市大安區辛亥路一段91~120號,,,
96,17,臺北市松山區富錦街581巷1~30號,,,
101,18,臺北市大安區通化街120巷1~30號,,,
108,19,臺北市松山區南京東路五段181~210號,,,
111,20,臺北市內湖區南京東路六段241~270號,,,
112,21,臺北市中山區合江街73巷1~30號,,,
113,22,臺北市內湖區民權東路六段301~330號,,,
116,23,臺北市中山區新生北路三段1~30號,,,
117,24,臺北市大安區永康街17巷1~30號,,,
120,25,臺北市文山區仙岩路22巷1~30號,,,
122,26,臺北市中正區牯嶺街61~90號,,,
123,27,臺北市大安區四維路211~240號,,,
124,28,臺北市大安區復興南路一段107巷5弄1~30號,,,
127,29,臺北市北投區泉源路31~60號,,,
128,30,臺北市北投區中山北路七段219巷3弄271~300號,,,
129,31,臺北市士林區福林路251巷1~30號,,,
130,32,臺北市士林區福林路251巷1~30號,,,
137,33,臺北市士林區芝玉路一段211~240號,,,
138,34,臺北市北投區溫泉路37巷1~30號,,,
147,35,臺北市南港區研究院路二段34巷1~30號,,,
148,36,臺北市松山區塔悠路181~210號,,,
154,37,臺北市中山區敬業三路162巷1~30號,,,
155,38,臺北市中山區遼寧街211~240號,,,
160,39,臺北市中山區雙城街19巷1~30號,,,
161,40,臺北市中山區林森北路361~390號,,,
162,41,臺北市內湖區康寧路三段99巷12弄1~30號,,,
163,42,臺北市大同區延平北路一段61~90號,,,
164,43,臺北市萬華區內江街121~150號,,,
168,44,臺北市萬華區西園路一段136巷16弄1~30號,,,
169,45,臺北市大同區蘭州街124巷16弄1~30號,,,
175,46,臺北市文山區木新路三段95巷7弄1~30號,,,
228,47,臺北市中正區廈門街113巷1~30號,,,
229,48,臺北市中正區廈門街113巷1~30號,,,
231,49,臺北市文山區三福街9巷1~30號,,,
236,50,臺北市中正區詔安街26巷10弄1~30號,,,
237,51,臺北市文山區景興路211~240號,,,
241,52,臺北市大同區長安西路52巷1~30號,,,
244,53,臺北市大同區歸綏街160巷1~30號,,,
247,54,臺北市中山區遼寧街76巷1~30號,,,
257,55,臺北市內湖區南京東路六段451巷31~60號,,,
258,56,臺北市中山區北安路595巷20弄1~30號,,,
259,57,臺北市中山區中山北路二段59巷31~60號,,,
260,58,臺北市內湖區金湖路391~420號,,,
264,59,臺北市松山區寶清街1~30號,,,
265,60,臺北市松山區民權東路三段106巷3弄1~30號,,,
267,61,臺北市南港區八德路四段871~900號,,,
268,62,臺北市南港區經貿二路235巷1~30號,,,
273,63,臺北市士林區重慶北路四段211~240號,,,
274,64,臺北市士林區中山北路七段216巷1~30號,,,
276,65,臺北市北投區一心路32巷1~30號,,,
282,66,臺北市大安區通化街171巷31~60號,,,
284,67,臺北市中正區同安街28巷1~30號,,,
285,68,臺北市大安區忠孝東路三段10巷1~30號,,,
290,69,臺北市大同區錦西街38巷31~60號,,,
292,70,臺北市內湖區民權東路六段296巷1~30號,,,
293,71,臺北市中山區林森北路310巷31~60號,,,
295,72,臺北市士林區士商路121~150號,,,
297,73,臺北市北投區石牌路二段348巷1~30號,,,
299,74,臺北市士林區格致路20巷1~30號,,,
302,75,臺北市大安區建國南路一段175巷1~30號,,,
306,76,臺北市北投區明德路150巷1~30號,,,
310,77,臺北市松山區南京東路五段211~240號,,,
314,78,臺北市內湖區港墘路82巷1~30號,,,
316,79,臺北市大同區重慶北路二段181~210號,,,
319,80,臺北市內湖區行善路25巷8弄1~30號,,,
320,81,臺北市大安區樂業街72巷1~30號,,,
321,82,臺北市大安區四維路14巷1~30號,,,
328,83,臺北市士林區尊賢街224巷1~30號,,,
329,84,臺北市士林區忠誠路二段31~60號,,,
332,85,臺北市北投區溫泉路61~90號,,,
336,86,臺北市北投區自強街5巷116弄1~30號,,,
343,87,臺北市士林區天母東路61~90號,,,
344,88,臺北市松山區新東街61~90號,,,
355,89,臺北市內湖區陽光街161巷1弄1~30號,,,
357,90,臺北市內湖區成功路二段361~390號,,,
361,91,臺北市中山區建國北路一段31~60號,,,
365,92,臺北市中正區泰安街1~30號,,,
369,93,臺北市大同區重慶北路一段1~30號,,,
372,94,臺北市文山區興隆路四段58巷26弄1~30號,,,
374,95,臺北市文山區興德路20巷1~30號,,,
387,96,臺北市中正區?門街121~150號,,,
391,97,臺北市萬華區和平西路三段298巷1~30號,,,
402,98,臺北市內湖區民權東路六段280巷69弄61~90號,,,
403,99,臺北市中山區新生北路二段60巷31~60號,,,
409,100,臺北市中山區中山北路二段16巷1~30號,,,
410,101,臺北市內湖區民權東路六段180巷121~150號,,,
412,102,臺北市內湖區金湖路1~30號,,,
414,103,臺北市南港區福德街310巷1~30號,,,
415,104,臺北市信義區和平東路三段211~240號,,,
418,105,臺北市松山區延吉街46巷1~30號,,,
419,106,臺北市信義區松隆路9巷1~30號,,,
426,107,臺北市士林區菁山路61~90號,,,
427,108,臺北市士林區菁山路61~90號,,,
428,109,臺北市北投區大度路三段271~300號,,,
429,110,臺北市北投區石牌路一段58巷1~30號,,,
432,111,臺北市士林區延平北路六段392巷1~30號,,,
434,112,臺北市北投區東華街一段361~390號,,,
435,113,臺北市北投區東華街一段361~390號,,,
436,114,臺北市北投區東華街一段361~390號,,,
437,115,臺北市北投區中山路31~60號,,,
439,116,臺北市大安區基隆路二段181~210號,,,
448,117,臺北市大安區信義路三段91~120號,,,
453,118,臺北市中山區錦州街30巷1~30號,,,
459,119,臺北市大安區建國南路二段11巷1~30號,,,
461,120,臺北市大安區信義路四段265巷1~30號,,,
467,121,臺北市南港區南深路31~60號,,,
469,122,臺北市中山區建國北路二段1~30號,,,
470,123,臺北市內湖區康寧路三段99巷31~60號,,,
471,124,臺北市內湖區民權東路六段123巷34弄1~30號,,,
